studentID,month,day,year,sex,fil1,eng1,math1,ap1,fil2,eng2,math2,ap2,fil3,eng3,math3,sci3,ap3,fil4,eng4,math4,sci4,ap4,fil5,eng5,math5,sci5,ap5,fil6,eng6,math6,sci6,ap6
106683180021,5,7,2013,M,79,82,79,79,85,84,87,85,85,84,84,86,85,85,86,85,84,86,81,79,79,81,80,87,88,89,88,89
132283180568,1,4,2013,M,79,79,79,79,79,79,80,80,79,79,79,80,81,82,80,80,80,85,86,86,86,85,85,84,83,83,83,85
102283180005,4,18,2013,F,88,88,86,86,88,88,87,86,86,86,87,85,85,86,82,83,83,84,83,83,81,83,81,87,88,85,88,87
102283180547,1,7,2013,F,84,85,85,86,86,85,85,86,85,85,85,85,86,86,85,86,84,87,87,86,85,86,86,88,87,88,89,88
102283180319,12,27,2012,F,83,82,83,83,87,85,86,87,87,86,87,86,86,85,84,84,84,84,88,87,87,87,87,89,89,88,88,89
102283180155,9,30,2013,M,90,84,84,91,92,92,92,93,90,90,91,91,91,88,86,87,85,84,88,88,89,88,90,87,86,85,87,86
102283180114,8,26,2013,F,86,84,85,86,86,84,85,86,86,85,85,86,86,87,87,86,85,87,86,86,87,87,88,90,90,89,90,89
102283180240,3,16,2013,F,79,80,80,81,80,81,81,82,83,82,84,82,83,79,78,79,79,80,80,80,80,80,80,86,87,86,87,86
102283180386,8,19,2013,F,85,85,85,85,85,87,88,87,87,86,87,87,87,86,86,88,86,86,86,87,86,87,87,90,90,89,90,90
108076170174,6,17,2012,M,79,78,78,77,77,76,77,79,82,81,81,81,82,84,83,81,79,83,81,81,81,82,82,84,82,84,82,84
102283180288,3,1,2013,M,87,86,87,86,88,88,88,87,86,86,85,86,86,80,78,79,78,79,81,81,80,81,82,87,87,86,87,87
402715180048,10,25,2012,M,79,77,75,79,82,82,82,82,80,82,81,83,82,83,81,81,81,84,81,80,80,82,82,84,81,84,84,84
102316480065,5,12,2012,F,78,78,79,79,84,81,83,83,79,79,79,80,79,84,84,79,80,81,85,84,82,84,85,86,85,85,85,86
102276180036,5,7,2013,F,85,84,84,85,85,83,83,84,81,79,79,80,80,84,82,83,86,85,84,84,84,84,84,90,90,90,91,90
102283170158,9,8,2011,F,80,80,80,80,80,80,80,80,79,79,79,79,79,87,85,87,88,85,77,76,77,77,77,89,89,88,89,88
102299160013,5,25,2010,F,87,86,89,88,83,81,84,82,79,78,79,78,78,78,77,77,78,78,81,81,80,80,83,87,86,86,87,87
102283180245,1,21,2013,F,83,81,82,83,84,82,82,84,84,80,84,82,83,86,84,86,86,85,84,83,82,82,83,86,88,86,89,88
102283180354,9,21,2012,M,83,82,85,83,85,85,85,85,82,81,81,81,82,84,83,82,83,84,84,82,80,80,83,85,85,85,85,85
102283180320,10,30,2012,F,80,80,80,81,86,85,85,86,85,85,84,84,84,84,83,83,84,85,87,86,85,84,85,89,89,89,90,88
102283180278,6,14,2013,M,82,81,84,89,81,81,82,85,85,83,83,84,85,80,80,80,79,80,82,81,82,81,82,86,86,85,87,86
102283180106,9,6,2012,F,90,89,86,95,93,92,92,93,92,91,91,91,92,88,87,86,86,84,88,88,89,89,89,86,86,86,87,84
400319180052,5,21,2013,M,81,81,80,80,88,87,87,86,86,85,86,85,86,78,78,78,79,79,81,81,80,81,81,87,85,85,86,86
102283180186,9,11,2013,F,88,87,88,87,87,87,86,87,86,85,85,85,86,83,82,82,82,83,86,86,88,87,86,87,86,86,87,86
